word,score
솜씨가 뛰어난,2
수월하게,2
수월하게 거침없이,2
수월하다,2
수익을 거두게,2
수익을 거두다,2
수익을 거둠,2
수준이어서 만족할,2
수준이어서 만족할 만하다,2
순결,2
순수하고 깨끗하며,2
순수하고 깨끗한,2
순수하고 바르게,2
순수하고 바르다,2
순수하고 올바르다,2
순수한 이익,2
순수한 황금,2
순조롭게,2
순조롭게 되어,2
순조롭게 진행되어,2
숭상하여,2
숭상하여 좋아하는,2
쉽거나,2
쉽거나 편하다,2
쉽게 해결할 수 있는,2
슬기,2
슬기나 지혜,2
슬기로운,2
슬기로움을,2
슬기롭고,2
슬기롭고 영리해서,2
슬기롭다,2
승낙하다,2
승리,2
승리하다,2
시각적 아름다움을,2
시원스러운,2
시원스러운 모양,2
시원스러운 소리가,2
시원스럽게,2
시원스럽게 나는,2
시원스럽게 높다,2
시원스럽게 열리는,2
시원스럽게 하는,2
시원스럽게 하다,2
시원스럽게 행동하는,2
시원스럽게 훤하게,2
시원스럽게 훤하다,2
시원스럽고,2
시원스럽고 말쑥한,2
시원스럽고 빠른,2
시원스럽다,2
시원스럽도록,2
시원스레,2
시원시원,2
시원시원하다,2
시원시원한 모양,2
시원시원히,2
시원하게,2
시원하고,2
시원하고 말끔하게,2
시원하고 산뜻하게,2
시원하고 재미있다,2
시원하여 유쾌하다,2
시원하여 유쾌함,2
신나다,2
신명,2
신명하다,2
신바람,2
신이 나서,2
신이나 멋,2
실속 있게,2
실속 있고,2
실속 있도록,2
실속이 있게,2
실속이 있다,2
실용적이다,2
실용적인,2
실하게,2
실하게 든든히,2
실하고,2
실하고 야무지다,2
실하다,2
심쿵,2
싱그럽다,2
싱글거리다,2
싱글대다,2
싱글벙글,2
싱글벙글하다,2
싱싱하고,2
싱싱하고 맑은,2
싱싱하고 힘찬,2
싱싱하다,2
싱싱한,2
싱싱한 모양,2
싱싱히,2
싸근싸근히,2
싸글싸글히,2
싹싹하고,2
싹싹하고 상냥하게,2
쌓인 은혜,2
써글써글히,2
썩 좋거나,2
썩 훌륭하거나,2
씩씩하게 나아감,2
씩씩하고 시원시원한,2
씩씩하고 힘차다,2
아끼고 귀중히,2
아끼고 사랑하는,2
아끼고 소중히,2
